site,lat,lon,detections,days_detected,mean_frp
21.99_83.37,21.98726,83.36617,1,1,0.37
21.99_85.32,21.991455625,85.32460921875,64,64,0.82109375
21.99_85.33,21.99070983766234,85.32661253246754,308,294,0.7955844155844155
21.9_72.75,21.90413571428571,72.75411714285714,7,7,1.0114285714285713
21.9_72.76,21.904204444444442,72.75708944444445,18,18,1.0244444444444445
22.01_82.67,22.00612522133939,82.6704543246311,881,669,1.7729625425652669
22.01_82.68,22.005793333333333,82.67514,3,3,2.033333333333333
22.01_83.33,22.008154074074074,83.32885296296297,27,26,0.7314814814814815
22.02_83.38,22.02207109375,83.3795898263889,576,517,1.2201736111111112
22.02_83.75,22.01786,83.75328333333333,3,3,1.7066666666666668
22.03_83.35,22.033972727272726,83.35358863636363,22,21,1.4895454545454547
22.03_83.36,22.03261552927928,83.36169209459459,888,577,1.455427927927928
22.03_83.37,22.03077241635688,83.36616442379183,269,247,1.3121561338289962
22.03_83.73,22.034345833333333,83.73113833333333,12,12,1.0966666666666667
22.03_83.74,22.032384864130435,83.74347616847827,368,302,2.5727445652173913
22.03_83.75,22.032891028571427,83.74590371428572,175,156,2.584914285714286
22.04_83.35,22.038304237288134,83.35186328197227,1298,795,1.624352850539291
22.04_83.36,22.036246470588235,83.35877988235295,85,82,1.3816470588235295
22.04_83.72,22.041991666666664,83.72449,6,5,6.273333333333333
22.04_83.73,22.041691652747254,83.73170894505495,2275,598,6.316654945054945
22.04_83.74,22.040704465376784,83.7382383299389,1964,860,4.47122199592668
22.04_83.75,22.0364345,83.745867375,80,74,1.938
22.05_83.72,22.051569999999998,83.72485333333333,3,3,2.436666666666667
22.05_83.73,22.046887311320756,83.73112103773585,424,306,4.261698113207547
22.05_83.74,22.045703125,83.73703958333333,96,80,2.2763541666666667
22.05_85.46,22.053638829787236,85.4638964893617,282,274,1.0322340425531915
22.05_85.47,22.0536616,85.46603763636362,275,267,0.9839272727272727
22.05_88.1,22.050626315789472,88.10247319298246,285,211,2.3781754385964913
22.05_88.11,22.050479814814818,88.10614055555556,54,50,2.883518518518519
22.05_88.12,22.05303374340949,88.1232534797891,1138,832,2.3912214411247805
22.05_88.13,22.053125711086224,88.12640594624861,893,704,2.437144456886898
22.06_83.72,22.058162885572138,83.72341184079602,603,460,2.025854063018242
22.06_83.73,22.0575080861244,83.72644820574163,418,331,2.2591626794258373
22.06_85.46,22.055693333333334,85.4639535042735,117,116,0.9757264957264957
22.06_85.47,22.05555201923077,85.46602,104,103,0.9494230769230769
22.06_88.11,22.059064457831326,88.11311060240963,83,80,0.8059036144578313
22.06_88.12,22.05850633762518,88.12265864091559,699,515,2.522360515021459
22.06_88.13,22.05641919395466,88.12635551637278,397,337,2.229219143576826
22.07_83.7,22.066774666666667,83.70354266666666,15,14,0.7893333333333333
22.07_83.71,22.066651333333333,83.70584266666667,15,15,0.7626666666666666
22.07_88.12,22.066046814814815,88.12112377777778,135,113,4.118222222222222
22.07_88.13,22.066068,88.125432,5,5,2.066
22.08_84.86,22.0833426,84.86192360000001,50,46,0.5594
22.09_84.86,22.0851,84.86138,1,1,0.41
22.09_88.11,22.088485,88.1113505,40,35,1.29775
22.0_82.67,22.003440195058516,82.66962522106631,1538,988,2.1241742522756826
22.11_83.12,22.10614024154589,83.12098280193237,207,178,1.699951690821256
22.11_83.13,22.106536666666667,83.12567333333334,3,3,0.9133333333333334
22.11_83.52,22.10689924170616,83.5237744549763,211,168,1.9986729857819905
22.11_83.53,22.10709175141243,83.5262072881356,177,151,2.0644067796610166
22.11_83.54,22.114116250000002,83.5428375,8,7,0.7725
22.13_72.76,22.1291565,72.7639905,20,20,0.616
22.13_72.77,22.12902928571429,72.76614964285714,28,27,0.5353571428571429
22.13_85.38,22.13311390909091,85.38258479545455,440,407,0.7578636363636363
22.13_85.41,22.131298333333334,85.41478833333333,6,6,0.7466666666666667
22.13_85.42,22.131242750000002,85.41749045,200,181,0.6823
22.14_85.38,22.135652,85.38251399999999,25,24,0.846
22.14_85.41,22.137554,85.414378,5,5,0.6719999999999999
22.14_85.42,22.136844,85.416206,5,5,0.8560000000000001
22.17_85.43,22.167932,85.434637,10,10,0.5700000000000001
22.17_85.44,22.16791156626506,85.43640759036145,83,81,0.5443373493975904
22.1_83.12,22.10343968838527,83.11953050991501,353,257,2.061331444759207
22.1_83.13,22.10376,83.12534,1,1,0.87
22.1_83.52,22.10413,83.52366568965518,58,55,1.8225862068965517
22.1_83.53,22.104275476190477,83.52605928571428,42,41,1.7180952380952381
22.1_84.37,22.098876818181818,84.3747009090909,22,22,0.5581818181818182
22.1_84.38,22.098769130434786,84.37638773913042,115,112,0.584
22.21_84.84,22.212165811138014,84.84186322033898,413,316,2.0692009685230026
22.21_84.85,22.20818517890772,84.84801911487759,531,400,1.5783427495291902
22.21_84.86,22.210249978296254,84.86189100379816,1843,912,1.9943190450352688
22.21_84.87,22.211894217736123,84.8693679596251,1387,727,2.1628622927180965
22.21_84.88,22.21097637813212,84.87748141230068,439,339,1.976765375854214
22.22_84.7,22.221625,84.69662100000001,10,10,0.528
22.22_84.75,22.22198212121212,84.75263993939394,495,377,1.3675757575757577
22.22_84.76,22.22115475265018,84.75781201413427,566,462,1.2758480565371024
22.22_84.84,22.2153665,84.84112,20,20,1.9135000000000002
22.22_84.86,22.215318888888888,84.86341555555556,9,9,1.0966666666666667
22.22_84.87,22.215629612403102,84.86905100775193,129,115,1.5779069767441862
22.22_84.88,22.216685675675677,84.87769297297297,37,35,1.1600000000000001
22.23_84.75,22.22619155844156,84.75232318181818,154,138,1.19987012987013
22.23_84.76,22.226390000000002,84.758336,10,9,0.8710000000000001
22.24_87.39,22.24353859375,87.38893656249999,320,281,1.3813125
22.25_87.39,22.246200354330707,87.38868637795277,254,225,1.3743307086614172
22.26_75.13,22.263995798969074,75.13273871134021,388,360,1.4485567010309277
22.26_75.14,22.264118333333336,75.1359530952381,42,42,1.2597619047619046
22.27_75.13,22.266073827493262,75.13266164420484,371,335,1.323423180592992
22.27_75.14,22.2659943902439,75.13563121951219,41,41,1.2714634146341461
22.2_84.58,22.201970071428573,84.57775778571428,140,137,0.8332857142857143
22.2_84.85,22.203562758620688,84.84825103448276,87,81,1.2577011494252874
22.31_82.51,22.31441666666667,82.51480666666667,3,3,0.8466666666666667
22.31_82.52,22.31371878172589,82.52178796954315,197,171,1.3871065989847715
22.31_82.53,22.313192321839082,82.52983344827587,435,295,1.668229885057471
22.31_82.54,22.3144752,82.5354976,25,25,0.8032
22.31_82.56,22.3141675,82.55973,4,4,0.9025
22.31_82.74,22.31379642857143,82.73909714285715,14,14,1.7850000000000001
22.31_84.77,22.313840727272726,84.76767372727274,110,110,0.8171818181818182
22.32_69.88,22.32271666666667,69.88087333333333,3,3,9.596666666666666
22.32_82.51,22.31828,82.51437555555556,9,9,2.148888888888889
22.32_82.52,22.31714921875,82.520399296875,128,113,1.5792187500000001
22.32_82.53,22.316670612813372,82.53256860724234,359,312,1.527158774373259
22.32_82.54,22.320473658536585,82.53795735191638,287,238,1.4361672473867597
22.32_82.55,22.32422888888889,82.54768666666666,9,9,1.1733333333333333
22.32_82.56,22.320719968051115,82.56206118210862,313,202,2.3199041533546327
22.32_82.57,22.32158683544304,82.56620886075949,79,66,1.9143037974683543
22.32_82.59,22.32257158730159,82.5909238095238,126,104,2.3154761904761907
22.32_82.6,22.322846451612904,82.59830569892473,93,76,2.293548387096774
